sensor_count,map_n,variant,energy_mean,aoi_mean,distance_mean,visited_mean,collected_mean
5,100,base,26677.243743333333,5.0,1110.9007566666667,5.0,89.16666666666667
5,100,revisit,27685.99674,5.0,896.36716,5.0,89.16668666666666
5,200,base,26709.89711,5.0,1534.8323566666666,5.0,89.16666666666667
5,200,revisit,28243.33527666667,5.0,1572.7449733333333,5.0,89.16669666666667
5,400,base,27812.418499999996,5.0,2018.3908,5.0,89.16666666666667
5,400,revisit,37078.829309999994,5.0,2613.6244866666666,5.0,89.16666666666667
5,600,base,37878.6639,5.0,2737.7603,5.0,89.16666666666667
5,600,revisit,109609.86120333333,5.8133333333333335,4320.9334733333335,4.833333333333333,88.03339
5,800,base,46687.12426666667,5.0,3110.1649,5.0,89.16666666666667
5,800,revisit,121070.76166666667,5.0,4977.538606666667,5.0,89.16667333333334
5,1000,base,118356.3745,5.0,4389.5495,5.0,89.16666666666667
5,1000,revisit,121393.12934,5.0,4456.9767366666665,5.0,89.16666666666667
10,100,base,28394.18201,10.096666666666666,748.0903099999999,9.0,177.63333333333333
10,100,revisit,29330.96297666667,10.096666666666666,574.2167900000001,9.0,177.6338
10,200,base,28226.998846666665,10.096666666666666,1015.3109199999999,9.0,177.63333333333333
10,200,revisit,29032.314566666668,10.096666666666666,1090.9429933333333,9.0,177.63378
10,400,base,29806.930466666665,10.096666666666666,1485.3301866666666,9.0,177.63333333333333
10,400,revisit,39440.14885,10.096666666666666,2002.6697966666666,9.0,177.63383333333334
10,600,base,40564.233146666666,10.096666666666666,2183.3526266666663,9.0,177.63333333333333
10,600,revisit,103212.20846333333,10.110000000000001,3758.9859100000003,8.966666666666667,174.30039333333335
10,800,base,55356.745879999995,10.096666666666666,2473.8398233333337,9.0,177.63333333333333
10,800,revisit,115295.53199333332,10.126666666666667,3517.53796,8.966666666666667,177.66699000000003
10,1000,base,99549.80749,10.096666666666666,3714.2623366666667,9.0,177.63333333333333
10,1000,revisit,127514.62846333333,10.156666666666666,4052.5948933333334,8.933333333333334,177.70026000000001
15,100,base,28491.372033333333,15.351103333333333,723.4798333333333,9.0,268.23333333333335
15,100,revisit,29378.560149999998,15.32,558.7710033333333,9.0,268.3005333333333
15,200,base,28141.503836666667,15.324443333333333,1069.33501,9.0,268.3
15,200,revisit,29338.656610000002,15.346666666666668,1138.3604733333334,9.0,268.30036333333334
15,400,base,29640.59523,15.337773333333333,1391.2565033333333,9.0,268.3
15,400,revisit,43099.54094333333,15.324443333333333,2247.69597,9.0,268.30041666666665
15,600,base,40969.879226666664,15.395536666666667,2139.09825,9.0,268.23333333333335
15,600,revisit,105809.02696,15.342223333333333,3818.406646666667,9.0,268.30043666666666
15,800,base,51184.12708333333,15.382206666666667,2561.25493,9.0,268.3
15,800,revisit,120975.91008999999,15.328886666666667,3846.4978600000004,9.0,268.30026
15,1000,base,76379.90413,15.391093333333334,3180.78997,9.0,268.23333333333335
15,1000,revisit,125968.79176666666,15.439996666666667,3964.3576666666663,8.966666666666667,268.3335333333333
20,100,base,28477.531753333333,20.461666666666666,727.4469933333334,9.0,357.23333333333335
20,100,revisit,29490.43432,20.444999999999997,551.3728466666666,9.0,357.23388
20,200,base,28088.808559999998,20.458333333333332,1045.02691,9.0,357.23333333333335
20,200,revisit,29323.197969999997,20.233333333333334,1104.08673,9.0,343.46721333333335
20,400,base,30267.964156666665,20.478333333333335,1371.9800533333332,9.0,357.23333333333335
20,400,revisit,41689.355403333335,20.441666666666666,2086.9441300000003,9.0,357.2338866666667
20,600,base,39463.40819,19.45962666666667,2122.13527,9.0,339.6
20,600,revisit,102018.24703666667,19.350849999999998,3658.239036666667,8.966666666666667,327.26717
20,800,base,53035.650676666664,20.508333333333333,2416.980173333333,9.0,357.1666666666667
20,800,revisit,118443.08646333333,20.793333333333333,3675.177313333333,8.833333333333334,353.5671233333333
20,1000,base,87361.23108,20.495,3186.3441000000003,9.0,357.23333333333335
20,1000,revisit,120635.39201000001,21.084999999999997,3841.7529466666665,8.433333333333334,345.13345666666663
25,100,base,28392.72401,25.546666666666667,755.10807,9.0,444.4
25,100,revisit,29336.58684,25.573333333333334,579.8326033333334,8.966666666666667,444.30058333333335
25,200,base,28026.224,25.538666666666668,1029.8017966666666,9.0,444.3333333333333
25,200,revisit,29139.69931333333,25.52266666666667,1030.4939766666666,9.0,444.4009566666667
25,400,base,29297.99354,25.538666666666668,1306.4664933333333,9.0,444.4
25,400,revisit,41264.00833999999,25.574666666666666,2044.9845566666665,9.0,444.4007766666667
25,600,base,40446.180120000005,25.552000000000003,1980.9886533333333,9.0,444.3333333333333
25,600,revisit,98292.13479,25.538666666666668,3649.3929533333335,9.0,444.4006866666667
25,800,base,54872.70261666667,25.546666666666667,2388.433503333333,9.0,444.3333333333333
25,800,revisit,118593.22964666666,25.696,3697.912243333333,8.966666666666667,444.36697666666663
25,1000,base,83863.39524,25.538666666666668,3042.495933333333,9.0,444.4
25,1000,revisit,124621.33858666666,26.361333333333334,3964.844493333333,8.8,444.5668933333333
30,100,base,28257.54393,30.56223333333333,787.8269833333333,9.0,529.7333333333333
30,100,revisit,29381.836566666665,30.544446666666666,571.1243099999999,9.0,529.8003299999999
30,200,base,28053.799170000002,30.540000000000003,1055.89341,9.0,529.8
30,200,revisit,28999.934859999998,30.772226666666665,1154.47729,8.933333333333334,529.8004266666667
30,400,base,30231.640170000002,29.89111,1373.9784466666667,9.0,498.6
30,400,revisit,41069.04913000001,30.660003333333332,2087.6157166666667,8.966666666666667,529.8004533333334
30,600,base,38343.92530333333,30.579996666666666,1992.48726,9.0,529.7333333333333
30,600,revisit,98216.00486,30.82444333333333,3609.4717333333333,8.933333333333334,529.7337666666667
30,800,base,54750.53577333333,30.59776,2351.7596333333336,9.0,529.6666666666666
30,800,revisit,116413.30352333334,30.96110666666667,3635.6638000000003,8.9,529.5336166666667
30,1000,base,85875.79095666666,30.60443,3058.200783333333,9.0,529.7333333333333
30,1000,revisit,118265.37519333333,31.59778,3891.2756099999997,8.733333333333333,528.1668933333333
